,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
0,2013,SteglitzZehlendorf,60408,ZehlendorfNord,27,11,219,44,118,2207,88,684,226,292,17,2,404,139,46,610
1,2019,Lichtenberg,110103,NeuHohenschnhausenSd,20,15,327,79,90,855,64,148,91,22,21,5,257,18,26,706
2,2019,CharlottenburgWilmersdorf,40304,SchloCharlottenburg,26,9,238,42,124,903,16,97,174,32,11,5,271,77,54,579
3,2015,Reinickendorf,122141,West1TegelSdFlughafensee,9,3,195,41,103,793,26,156,33,47,8,3,120,13,206,426
4,2013,CharlottenburgWilmersdorf,40309,Kurfrstendamm,112,46,919,287,183,4299,60,369,172,106,6,1,342,75,197,1517
5,2016,Mitte,10112,Regierungsviertel,94,66,483,86,124,5797,15,242,310,54,10,3,350,111,70,904
6,2015,Lichtenberg,110513,Karlshorst,6,2,110,21,44,856,49,144,226,60,15,6,148,25,22,278
7,2018,FriedrichshainKreuzberg,20405,KarlMarxAlleeNord,17,7,197,45,77,1174,40,184,244,46,5,3,256,51,40,500
8,2013,TreptowKpenick,90103,Baumschulenweg,21,12,95,20,59,684,35,211,100,47,8,3,167,46,24,308
9,2014,Lichtenberg,110101,MalchowWartenbergundFalkenberg,1,1,15,0,11,217,4,36,9,16,5,1,43,6,4,44
10,2014,MarzahnHellersdorf,100408,Kaulsdorf,5,1,67,10,35,540,15,169,94,75,8,4,152,16,5,205
11,2014,TreptowKpenick,90312,SchmckwitzKarolinenhofRauchfangswerder,1,1,19,2,6,176,3,53,6,13,1,0,23,0,2,42
12,2013,SteglitzZehlendorf,60306,Drakestr,30,7,198,33,108,1936,85,497,222,166,17,8,289,33,49,635
13,2015,Neuklln,80104,Rixdorf,77,45,480,140,182,2558,51,344,453,199,27,13,518,79,183,1477
14,2014,TreptowKpenick,90104,Johannisthal,15,9,84,17,47,581,31,105,81,37,10,2,149,13,12,253
15,2014,MarzahnHellersdorf,100307,Biesdorf,8,5,162,23,66,1112,40,272,177,62,8,2,166,19,32,341
16,2012,FriedrichshainKreuzberg,20506,FrankfurterAlleeNord,34,16,265,83,80,1528,55,117,286,59,48,15,534,84,50,824
17,2016,TreptowKpenick,90413,KpenickSd,2,1,104,17,22,385,34,81,89,13,16,8,88,15,5,187
18,2016,FriedrichshainKreuzberg,20506,FrankfurterAlleeNord,30,12,308,84,97,2150,34,195,508,63,54,15,618,128,143,1054
