Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial
Andaman & Nicobar Islands,2001,Rape,01. Rape,5,2,3,0,0,0,5,0,1,3,34,36,3,3,5,0,0,39
Andhra Pradesh,2001,Rape,01. Rape,731,22,769,35,197,74,791,3,393,390,1974,2170,871,769,928,2,0,2937
Arunachal Pradesh,2001,Rape,01. Rape,1,2,25,0,2,0,27,0,18,12,282,260,33,25,3,0,0,285
Assam,2001,Rape,01. Rape,334,95,495,10,101,45,590,0,1045,863,1964,1914,817,495,435,0,0,2409
Bihar,2001,Rape,01. Rape,406,141,685,0,155,105,826,0,488,531,3185,3061,888,685,561,0,0,3746
Chandigarh,2001,Rape,01. Rape,9,0,16,0,2,2,16,0,1,1,34,29,18,16,11,0,0,45
Chhattisgarh,2001,Rape,01. Rape,520,15,976,1,158,11,991,1,86,130,3966,3669,959,976,678,0,0,4645
Dadra & Nagar Haveli,2001,Rape,01. Rape,0,0,8,0,1,0,8,0,1,3,21,14,6,8,1,0,0,22
Daman & Diu,2001,Rape,01. Rape,3,0,1,0,0,0,1,0,0,1,1,3,0,1,3,0,0,4
Delhi,2001,Rape,01. Rape,80,65,361,0,29,1,426,0,197,243,1651,1399,381,361,109,0,0,1760
Goa,2001,Rape,01. Rape,10,1,14,0,10,0,15,0,5,8,47,53,12,14,20,0,0,67
Gujarat,2001,Rape,01. Rape,150,10,288,7,26,10,298,1,24,47,1948,1843,286,288,176,0,0,2131
Haryana,2001,Rape,01. Rape,291,6,341,1,94,54,347,0,22,25,636,681,398,341,385,0,0,1022
Himachal Pradesh,2001,Rape,01. Rape,75,0,110,0,30,25,110,0,35,46,389,384,124,110,105,0,0,494
Jammu & Kashmir,2001,Rape,01. Rape,98,4,147,5,7,26,151,0,49,57,570,533,169,147,105,0,0,680
Jharkhand,2001,Rape,01. Rape,236,49,404,0,99,11,453,0,185,82,1034,965,567,404,335,0,0,1369
Karnataka,2001,Rape,01. Rape,154,17,271,8,41,24,288,4,99,122,1132,1064,293,271,195,0,0,1335
Kerala,2001,Rape,01. Rape,111,11,510,3,32,22,521,10,505,496,2190,1826,562,510,143,0,0,2336
Lakshadweep,2001,Rape,01. Rape,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
Madhya Pradesh,2001,Rape,01. Rape,2052,188,2616,25,589,16,2804,9,261,264,6721,6771,2851,2616,2641,0,25,9387
Maharashtra,2001,Rape,01. Rape,727,21,1289,17,125,20,1310,0,230,258,9876,9456,1302,1289,852,0,0,10745
Manipur,2001,Rape,01. Rape,1,20,4,0,0,0,24,0,33,37,39,36,20,4,1,0,0,40
Meghalaya,2001,Rape,01. Rape,11,8,21,0,0,0,29,0,64,67,236,226,26,21,11,0,0,247
Mizoram,2001,Rape,01. Rape,10,0,51,0,32,0,51,0,14,13,96,87,52,51,42,0,0,138
Nagaland,2001,Rape,01. Rape,2,3,8,1,2,0,11,0,19,13,48,45,17,8,4,0,0,53
Odisha,2001,Rape,01. Rape,408,22,769,0,117,40,791,1,268,310,2354,2110,790,769,525,0,0,2879
Puducherry,2001,Rape,01. Rape,0,0,8,0,0,0,8,0,4,3,16,8,9,8,0,0,0,16
Punjab,2001,Rape,01. Rape,171,29,239,1,81,32,268,0,75,77,235,249,298,239,252,0,0,488
Rajasthan,2001,Rape,01. Rape,700,7,771,13,266,320,778,0,78,127,2614,2822,1049,771,966,0,0,3593
Sikkim,2001,Rape,01. Rape,2,0,5,0,1,0,5,0,3,0,7,5,8,5,3,0,0,10
Tamil Nadu,2001,Rape,01. Rape,160,18,397,3,84,30,415,11,247,280,1288,1138,423,397,244,0,0,1535
Tripura,2001,Rape,01. Rape,38,5,63,1,13,0,68,0,67,33,129,118,102,63,51,0,0,181
Uttar Pradesh,2001,Rape,01. Rape,622,152,1613,15,697,215,1765,0,192,214,5616,5337,1958,1613,1319,0,0,6950
Uttarakhand,2001,Rape,01. Rape,34,3,58,2,30,10,61,0,9,6,157,165,74,58,64,0,0,223
West Bengal,2001,Rape,01. Rape,517,133,717,0,45,1,850,0,777,919,5081,4926,709,717,562,0,0,5643
