INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long
I182070945,619,Larceny,LARCENY ALL OTHERS,D14,808,2018,9,Sunday,13,Part One,LINCOLN ST,42.35779134,-71.13937053
I182070943,1402,Vandalism,VANDALISM,C11,347,2018,8,Tuesday,0,Part Two,HECLA ST,42.30682138,-71.06030035
I182070941,3410,Towed,TOWED MOTOR VEHICLE,D4,151,2018,9,Monday,19,Part Three,CAZENOVE ST,42.34658879,-71.07242943
I182070940,3114,Investigate Property,INVESTIGATE PROPERTY,D4,272,2018,9,Monday,21,Part Three,NEWCOMB ST,42.33418175,-71.07866441
I182070938,3114,Investigate Property,INVESTIGATE PROPERTY,B3,421,2018,9,Monday,21,Part Three,DELHI ST,42.27536542,-71.09036101
I182070936,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,C11,398,2018,9,Monday,21,Part Three,TALBOT AVE,42.29019621,-71.07159012
I182070933,724,Auto Theft,AUTO THEFT,B2,330,2018,9,Monday,21,Part One,NORMANDY ST,42.30607218,-71.0827326
I182070932,3301,Verbal Disputes,VERBAL DISPUTE,B2,584,2018,9,Monday,20,Part Three,LAWN ST,42.32701648,-71.10555088
I182070931,301,Robbery,ROBBERY - STREET,C6,177,2018,9,Monday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307
I182070929,3301,Verbal Disputes,VERBAL DISPUTE,C11,364,2018,9,Monday,20,Part Three,LESLIE ST,42.29514664,-71.05860832
I182070928,3301,Verbal Disputes,VERBAL DISPUTE,C6,913,2018,9,Monday,19,Part Three,OCEAN VIEW DR,42.31957856,-71.04032766
I182070927,3114,Investigate Property,INVESTIGATE PROPERTY,C6,936,2018,9,Monday,20,Part Three,DALESSIO CT,42.34011469,-71.05339029
I182070923,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",D4,139,2018,9,Monday,19,Part Three,MARLBOROUGH ST,42.3503876,-71.0878529
I182070922,2647,Other,THREATS TO DO BODILY HARM,B3,429,2018,9,Monday,20,Part Two,WOODROW AVE,42.28647012,-71.08714661
I182070921,3201,Property Lost,PROPERTY - LOST,B3,469,2018,9,Sunday,14,Part Three,MULVEY ST,42.27924052,-71.09667382
I182070919,3301,Verbal Disputes,VERBAL DISPUTE,C11,341,2018,9,Monday,18,Part Three,STONEHURST ST,42.30526428,-71.06683755
I182070918,3305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,D4,130,2018,9,Monday,17,Part Three,HUNTINGTON AVE,42.34857652,-71.07772012
I182070917,2647,Other,THREATS TO DO BODILY HARM,B2,901,2018,9,Monday,19,Part Two,HORADAN WAY,42.33371742,-71.09665806
I182070915,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,181,2018,9,Sunday,18,Part One,SHIRLEY ST,42.3256949,-71.06816778
I182070911,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,69,2018,9,Monday,18,Part Three,BEACON ST,42.35564426,-71.07168077
I182070910,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,434,2018,9,Monday,18,Part Three,CAPEN ST,42.28340243,-71.0807974
I182070909,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E5,550,2018,9,Monday,18,Part Three,WASHINGTON ST,42.27581799,-71.13991259
I182070908,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,911,2018,9,Monday,18,Part One,ANNUNCIATION RD,42.33506218,-71.09316781
I182070905,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,172,2018,9,Monday,18,Part Three,MASSACHUSETTS AVE,42.33311189,-71.0727637
I182070904,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,242,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882
I182070904,2007,Restraining Order Violations,VIOL. OF RESTRAINING ORDER W NO ARREST,C11,242,2018,9,Monday,18,Part Two,ANNAPOLIS ST,42.31731905,-71.06150882
I182070903,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B3,463,2018,9,Monday,18,Part Two,BLUE HILL AVE,42.29590385,-71.08773294
I182070901,2907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,428,2018,9,Monday,18,Part Two,CLARKWOOD ST,42.28013735,-71.09079826
I182070900,2629,Harassment,HARASSMENT,B3,464,2018,9,Monday,18,Part Two,HANSBOROUGH ST,42.28810362,-71.09153335
I182070898,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,351,2018,9,Monday,19,Part Two,SALISBURY PARK,42.29928376,-71.059172
I182070897,2662,Ballistics,BALLISTICS EVIDENCE/FOUND,B2,330,2018,9,Monday,18,Part Two,COLUMBIA RD,42.30524752,-71.08089418
I182070895,3207,Property Found,PROPERTY - FOUND,A7,30,2018,9,Monday,16,Part Three,COTTAGE ST,42.36742605,-71.03547266
I182070893,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,427,2018,9,Monday,18,Part One,WILMORE ST,42.2779637,-71.09246318
I182070892,613,Larceny,LARCENY SHOPLIFTING,B2,276,2018,9,Monday,17,Part One,SHAWMUT AVE,42.33318299,-71.08307607
I182070891,3109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,E13,303,2018,9,Sunday,20,Part Three,BRAGDON ST,42.31888243,-71.09929423
I182070890,2612,Fire Related Reports,FIRE REPORT/ALARM - FALSE,B3,432,2018,9,Monday,18,Part Two,CALLENDER ST,42.28848287,-71.08259001
I182070887,1402,Vandalism,VANDALISM,D4,149,2018,9,Saturday,12,Part Two,W NEWTON ST,42.34385799,-71.07953502
I182070886,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,402,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28492596,-71.07135254
I182070885,619,Larceny,LARCENY ALL OTHERS,B3,456,2018,9,Monday,17,Part One,ELLINGTON ST,42.30154555,-71.08118184
I182070882,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,901,2018,9,Monday,15,Part Three,WARD ST,42.33511145,-71.09592156
I182070881,1402,Vandalism,VANDALISM,C11,356,2018,9,Monday,15,Part Two,GENEVA AVE,42.29848866,-71.06313294
I182070880,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1,116,2018,9,Monday,17,Part Three,BEACH ST,42.351084,-71.059395
I182070879,3301,Verbal Disputes,VERBAL DISPUTE,B3,441,2018,9,Monday,16,Part Three,NIGHTINGALE ST,42.29540175,-71.08237834
I182070877,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,562,2018,9,Monday,15,Part Three,WASHINGTON ST,42.28788933,-71.12658585
I182070876,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,C11,244,2018,9,Monday,16,Part Three,E COTTAGE ST,42.31866067,-71.05881776
I182070875,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,116,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395
I182070875,2405,Disorderly Conduct,DISORDERLY CONDUCT,A1,116,2018,9,Monday,16,Part Two,BEACH ST,42.351084,-71.059395
I182070874,617,Larceny,LARCENY THEFT FROM BUILDING,A1,102,2018,9,Monday,16,Part One,WINTER ST,42.35602373,-71.06177615
I182070873,3625,Other,DANGEROUS OR HAZARDOUS CONDITION,B2,327,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.0742708
I182070873,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,B2,327,2018,9,Monday,15,Part Three,WAYLAND ST,42.31368925,-71.0742708
I182070872,1402,Vandalism,VANDALISM,C6,205,2018,8,Friday,17,Part Two,A ST,42.34754258,-71.0506621
I182070871,3501,Missing Person Reported,MISSING PERSON,B2,265,2018,9,Monday,17,Part Three,PERRIN ST,42.3218854,-71.07906279
I182070870,3115,Investigate Person,INVESTIGATE PERSON,E18,493,2018,9,Monday,15,Part Three,LEXINGTON AVE,42.26255067,-71.11582205
I182070868,616,Larceny,LARCENY THEFT OF BICYCLE,D14,790,2018,9,Monday,6,Part One,CHESTNUT HILL AVE,42.3353997,-71.15025675
I182070863,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,143,2018,9,Saturday,17,Part Two,RING RD,42.34813158,-71.08027002
I182070862,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,B2,603,2018,9,Monday,15,Part Three,TREMONT ST,42.33380683,-71.10377843
I182070861,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,642,2018,9,Monday,16,Part Three,CENTRE ST,42.31322316,-71.11409925
I182070860,3114,Investigate Property,INVESTIGATE PROPERTY,C11,403,2018,9,Monday,15,Part Three,CROFTLAND AVE,42.28107109,-71.06925083
I182070859,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,305,2018,9,Monday,15,Part Three,KENSINGTON ST,42.3206268,-71.09108856
I182070858,2629,Harassment,HARASSMENT,E18,547,2018,9,Monday,14,Part Two,DEFOREST ST,42.2675628,-71.1297447
I182070857,3201,Property Lost,PROPERTY - LOST,D4,145,2018,8,Wednesday,14,Part Three,HUNTINGTON AVE,42.34481182,-71.08234324
I182070856,613,Larceny,LARCENY SHOPLIFTING,D4,138,2018,9,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031
I182070855,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,288,2018,9,Monday,15,Part Three,ROXBURY ST,42.3296087,-71.08462109
I182070854,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,257,2018,9,Monday,15,Part Two,EVERETT AVE,42.31526714,-71.0630687
I182070852,802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,706,2018,9,Sunday,12,Part Two,VERSHIRE ST,42.27169454,-71.14650799
I182070851,3115,Investigate Person,INVESTIGATE PERSON,E18,957,2018,9,Monday,14,Part Three,CLIFFMONT ST,42.27668221,-71.12065268
I182070850,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,498,2018,9,Monday,14,Part Three,CLARE AVE,42.27360053,-71.11897042
I182070849,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,177,2018,9,Monday,11,Part Two,MASSACHUSETTS AVE,42.33152148,-71.07085307
I182070847,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,469,2018,9,Monday,13,Part Two,TENNIS RD,42.27615691,-71.09550303
I182070846,613,Larceny,LARCENY SHOPLIFTING,C11,381,2018,9,Monday,14,Part One,GALLIVAN BLVD,42.28512354,-71.04405667
I182070844,724,Auto Theft,AUTO THEFT,D4,154,2018,9,Monday,15,Part One,TREMONT ST,42.3411289,-71.07692951
I182070843,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,84,2018,9,Monday,14,Part Three,HANOVER ST,42.36339154,-71.05488123
I182070842,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,776,2018,9,Monday,13,Part Three,PRISCILLA RD,42.34488259,-71.15216614
I182070841,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D14,777,2018,8,Monday,12,Part Two,SHEPARD ST,42.34600153,-71.15112006
I182070840,2647,Other,THREATS TO DO BODILY HARM,A1,63,2018,9,Monday,14,Part Two,MARTHA RD,42.36580175,-71.06538257
I182070838,613,Larceny,LARCENY SHOPLIFTING,D4,146,2018,9,Monday,14,Part One,HUNTINGTON AVE,42.3479724,-71.07849582
I182070837,3115,Investigate Person,INVESTIGATE PERSON,B3,449,2018,9,Monday,13,Part Three,WHITFIELD ST,42.2922213,-71.07467073
I182070837,3301,Verbal Disputes,VERBAL DISPUTE,B3,449,2018,9,Monday,13,Part Three,WHITFIELD ST,42.2922213,-71.07467073
I182070835,3201,Property Lost,PROPERTY - LOST,A1,77,2018,9,Monday,14,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489
I182070834,617,Larceny,LARCENY THEFT FROM BUILDING,D14,794,2018,8,Thursday,10,Part One,RADCLIFFE RD,42.35085449,-71.13408859
I182070833,2905,Violations,VAL - OPERATING WITHOUT LICENSE,D14,780,2018,9,Monday,14,Part Two,FANEUIL ST,42.35479369,-71.14995785
I182070833,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,D14,780,2018,9,Monday,14,Part Three,FANEUIL ST,42.35479369,-71.14995785
I182070832,3410,Towed,TOWED MOTOR VEHICLE,C6,229,2018,9,Monday,13,Part Three,E SIXTH ST,42.33298734,-71.04282382
I182070831,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,619,2018,9,Monday,14,Part Two,SAINT STEPHEN ST,42.34272627,-71.08646352
I182070830,2647,Other,THREATS TO DO BODILY HARM,B2,294,2018,9,Monday,13,Part Two,AKRON ST,42.32579408,-71.08563758
I182070829,1810,Drug Violation,DRUGS - SALE / MANUFACTURING,B2,325,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683
I182070829,1842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,325,2018,9,Monday,13,Part Two,WOODCLIFF ST,42.31580934,-71.07618683
I182070828,613,Larceny,LARCENY SHOPLIFTING,D4,146,2018,9,Monday,10,Part One,HUNTINGTON AVE,42.3479724,-71.07849582
I182070827,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,79,2018,9,Monday,13,Part Three,ENDICOTT ST,42.36588028,-71.05740251
I182070826,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,462,2018,9,Monday,14,Part Three,ROSSETER ST,42.30376511,-71.07484027
I182070825,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,398,2018,9,Monday,2,Part Three,TALBOT AVE,42.29019621,-71.07159012
I182070824,3114,Investigate Property,INVESTIGATE PROPERTY,B2,237,2018,9,Monday,13,Part Three,CAWFIELD ST,42.31993148,-71.06368978
I182070823,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,330,2018,9,Monday,14,Part One,BLUE HILL AVE,42.3078214,-71.08354076
I182070822,1402,Vandalism,VANDALISM,C6,231,2018,9,Monday,13,Part Two,E SEVENTH ST,42.33238533,-71.03016099
I182070819,1848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,A1,111,2018,9,Monday,13,Part Two,TEMPLE PL,42.35521429,-71.06206351
I182070818,1844,Drug Violation,DRUGS - POSS CLASS C,A1,119,2018,9,Monday,12,Part Two,BEACON ST,42.35678442,-71.06670845
I182070817,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,788,2018,8,Friday,12,Part Three,SUTHERLAND RD,42.34023408,-71.14800614
I182070816,3301,Verbal Disputes,VERBAL DISPUTE,C6,185,2018,9,Monday,12,Part Three,MASSACHUSETTS AVE,42.32198656,-71.06280666
I182070816,619,Larceny,LARCENY ALL OTHERS,C6,185,2018,9,Monday,12,Part One,MASSACHUSETTS AVE,42.32198656,-71.06280666
I182070815,423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,2018,9,Monday,12,Part One,CENTRE ST,42.32259354,-71.10619643
I182070813,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,627,2018,9,Monday,3,Part One,PETERBOROUGH ST,42.34280177,-71.1006951
I182070812,3115,Investigate Person,INVESTIGATE PERSON,E18,525,2018,9,Monday,12,Part Three,WOLCOTT ST,42.23797683,-71.13000944
I182070811,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,12,2018,9,Monday,11,Part Three,BENNINGTON ST,42.38512136,-71.01150101
I182070809,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,605,2018,9,Monday,12,Part Three,FISHER AVE,42.33061023,-71.10853621
I182070808,3205,License Plate Related Incidents,M/V PLATES - LOST,B2,297,2018,9,Monday,9,Part Three,KENSINGTON PARK,42.32171349,-71.08260822
I182070807,2647,Other,THREATS TO DO BODILY HARM,E5,748,2018,9,Monday,12,Part Two,KEANE RD,42.29476186,-71.1623927
I182070806,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,361,2018,9,Monday,12,Part One,DORCHESTER AVE,42.29328831,-71.06219497
I182070806,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",C11,361,2018,9,Monday,12,Part Two,DORCHESTER AVE,42.29328831,-71.06219497
I182070805,616,Larceny,LARCENY THEFT OF BICYCLE,E5,564,2018,9,Sunday,21,Part One,ARCHDALE RD,42.29277202,-71.12138967
I182070804,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,756,2018,9,Monday,11,Part One,CHAMPNEY ST,42.3524123,-71.16878833
I182070803,1402,Vandalism,VANDALISM,B3,463,2018,8,Friday,12,Part Two,BLUE HILL AVE,42.29216506,-71.08896989
I182070802,3001,Medical Assistance,DEATH INVESTIGATION,A15,56,2018,9,Monday,11,Part Three,HIGH ST,42.37604137,-71.06211228
I182070801,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,326,2018,9,Sunday,19,Part Three,LAWRENCE AVE,42.31161123,-71.076256
I182070800,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,325,2018,9,Monday,11,Part Two,BEAUFORD LN,42.31620533,-71.07609249
I182070798,2629,Harassment,HARASSMENT,C11,450,2018,9,Monday,11,Part Two,WASHINGTON ST,42.29131613,-71.07170293
I182070797,3301,Verbal Disputes,VERBAL DISPUTE,C11,341,2018,9,Monday,11,Part Three,SPEEDWELL ST,42.30406722,-71.06760042
I182070796,3115,Investigate Person,INVESTIGATE PERSON,A1,61,2018,9,Monday,11,Part Three,BEVERLY ST,42.36658726,-71.06019881
I182070795,301,Robbery,ROBBERY - STREET,C11,362,2018,9,Sunday,20,Part One,LYNDHURST ST,42.29290563,-71.06955795
I182070794,3301,Verbal Disputes,VERBAL DISPUTE,C11,332,2018,9,Monday,11,Part Three,COLUMBIA RD,42.31363409,-71.06778025
I182070793,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,344,2018,9,Monday,10,Part Three,WESTVILLE TER,42.30098009,-71.06869928
I182070792,613,Larceny,LARCENY SHOPLIFTING,D4,129,2018,9,Monday,11,Part One,BOYLSTON ST,42.35095909,-71.0741278
I182070791,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,325,2018,9,Monday,11,Part Two,BEAUFORD LN,42.31620533,-71.07609249
I182070790,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,101,2018,9,Monday,10,Part Three,MILK ST,42.35822966,-71.05362239
I182070788,3114,Investigate Property,INVESTIGATE PROPERTY,B2,305,2018,9,Sunday,21,Part Three,TOWNSEND ST,42.3191711,-71.09192415
I182070787,3410,Towed,TOWED MOTOR VEHICLE,E18,499,2018,9,Monday,10,Part Three,NAVARRE ST,42.27758926,-71.11755202
