CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
658992508,67,BROOKLYN,03/19/2018,4:40:00,03/19/2018,4:50:00,COMPLETED,,,0,N.Y. POLICE DEPT,113,FELONY,FRONT OF,FORGERY,,PATROL BORO BKLYN SOUTH,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",RESIDENCE - APT. HOUSE,03/19/2018,,25-44,BLACK,F,,25-44,BLACK,M,996892,175620,40.64871217,-73.95444371,"(40.648712171, -73.954443713)"
551493278,107,QUEENS,03/19/2018,4:00:00,03/19/2018,4:08:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,03/19/2018,,45-64,BLACK,M,,25-44,BLACK,F,1039838,204578,40.7280296,-73.79944146,"(40.728029603, -73.799441455)"
901261849,23,MANHATTAN,03/19/2018,4:00:00,,,COMPLETED,LEXINGTON,643,2,N.Y. HOUSING POLICE,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO MAN NORTH,105,STRANGULATION 1ST,RESIDENCE - PUBLIC HOUSING,03/19/2018,,25-44,BLACK,M,,25-44,WHITE HISPANIC,F,998165,226184,40.78749627,-73.94975171,"(40.787496269, -73.949751709)"
862076165,40,BRONX,03/19/2018,3:40:00,03/19/2018,4:07:00,COMPLETED,MILL BROOK EXTENSION,4948,2,N.Y. HOUSING POLICE,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,113,"MENACING,UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,03/19/2018,,45-64,WHITE HISPANIC,M,,45-64,WHITE HISPANIC,F,1007598,232199,40.80398592,-73.91566644,"(40.803985922, -73.915666438)"
312795577,47,BRONX,03/19/2018,3:35:00,03/19/2018,3:57:00,COMPLETED,,,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO BRONX,105,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,03/19/2018,,45-64,BLACK,M,,25-44,BLACK,F,1021262,256474,40.87056702,-73.86617699,"(40.870567022, -73.866176986)"
784928217,47,BRONX,03/19/2018,3:35:00,03/19/2018,3:57:00,COMPLETED,,,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO BRONX,109,"ASSAULT 2,1,UNCLASSIFIED",RESIDENCE - APT. HOUSE,03/19/2018,,25-44,BLACK,F,,45-64,BLACK,M,1021262,256474,40.87056702,-73.86617699,"(40.870567022, -73.866176986)"
920570015,10,MANHATTAN,03/19/2018,3:30:00,03/19/2018,3:50:00,COMPLETED,,,0,N.Y. POLICE DEPT,118,FELONY,FRONT OF,DANGEROUS WEAPONS,,PATROL BORO MAN SOUTH,793,WEAPONS POSSESSION 3,STREET,03/19/2018,,45-64,BLACK,M,,18-24,WHITE,F,982756,210140,40.74347046,-74.005393,"(40.743470455, -74.005393004)"
699044642,7,MANHATTAN,03/19/2018,3:30:00,03/19/2018,3:40:00,COMPLETED,,,0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO MAN SOUTH,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,03/19/2018,,25-44,BLACK,M,,18-24,WHITE,M,987813,201488,40.71972224,-73.98714785,"(40.719722242, -73.987147853)"
907277317,90,BROOKLYN,03/19/2018,3:15:00,03/19/2018,3:20:00,COMPLETED,INDEPENDENCE,472,2,N.Y. HOUSING POLICE,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BKLYN NORTH,101,ASSAULT 3,RESIDENCE - PUBLIC HOUSING,03/19/2018,,18-24,WHITE HISPANIC,F,,25-44,WHITE HISPANIC,F,994231,196250,40.70534027,-73.96400256,"(40.705340265, -73.964002557)"
530074005,34,MANHATTAN,03/19/2018,3:15:00,03/19/2018,3:25:00,COMPLETED,,,0,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO MAN NORTH,101,ASSAULT 3,RESIDENCE - APT. HOUSE,03/19/2018,,18-24,WHITE HISPANIC,F,,25-44,WHITE HISPANIC,M,1003133,249705,40.85204556,-73.93174513,"(40.852045557, -73.931745131)"
